instrument,instrument_name
SH515120,广发中证创新药产业ETF
SH515130,博时沪深300ETF
SH515150,富国中证国企一带一路ETF
SH515160,招商MSCI中国A股国际通ETF
SH515170,华夏中证细分食品饮料产业主题ETF
SH515180,易方达中证红利ETF
SH515190,中银证券中证500ETF
SH515200,申万菱信中证研发创新100ETF
SH515210,国泰中证钢铁ETF
SH515220,国泰中证煤炭ETF
SH515230,国泰中证全指软件ETF
SH515250,富国中证智能汽车主题ETF
SH515260,华宝中证电子50ETF
SH515290,天弘中证银行ETF
SH515300,嘉实沪深300红利低波动ETF
SH515310,添富沪深300ETF
SH515320,华安中证电子50ETF
SH515330,天弘沪深300ETF
SH515350,民生加银沪深300ETF
SH515360,方正富邦沪深300ETF
SH515370,华夏中证光伏产业ETF
SH515380,泰康沪深300ETF
SH515390,华安沪深300ETF
